786,461,1.5,stock,"britain's ftse gains, land securities up after dividend hike"
787,461,1.5,economy,"britain's ftse gains, land securities up after dividend hike"
788,461,0.549,corporate,"britain's ftse gains, land securities up after dividend hike"
789,461,0.549,corporate,"britain's ftse gains, land securities up after dividend hike"
790,461,0.549,corporate,"britain's ftse gains, land securities up after dividend hike"
791,461,1.5,market,"britain's ftse gains, land securities up after dividend hike"
792,466,0.555,stock,"britain's ftse bounces back, mondi and barratt lead"
793,466,0.555,stock,"britain's ftse bounces back, mondi and barratt lead"
794,466,0.555,stock,"britain's ftse bounces back, mondi and barratt lead"
795,466,1.5,economy,"britain's ftse bounces back, mondi and barratt lead"
796,466,1.5,corporate,"britain's ftse bounces back, mondi and barratt lead"
797,466,1.5,market,"britain's ftse bounces back, mondi and barratt lead"
798,470,1.5,stock,old mutual first-quarter sales up 18% buoyed by emerging markets
799,470,1.5,economy,old mutual first-quarter sales up 18% buoyed by emerging markets
800,470,0.689,corporate,old mutual first-quarter sales up 18% buoyed by emerging markets
801,470,0.689,corporate,old mutual first-quarter sales up 18% buoyed by emerging markets
802,470,0.689,corporate,old mutual first-quarter sales up 18% buoyed by emerging markets
803,470,1.5,market,old mutual first-quarter sales up 18% buoyed by emerging markets
804,473,1.5,stock,do it for me' trend underpins uk sales growth at kingfisher
805,473,1.5,economy,do it for me' trend underpins uk sales growth at kingfisher
806,473,0.304,corporate,do it for me' trend underpins uk sales growth at kingfisher
807,473,0.304,corporate,do it for me' trend underpins uk sales growth at kingfisher
808,473,0.304,corporate,do it for me' trend underpins uk sales growth at kingfisher
809,473,1.5,market,do it for me' trend underpins uk sales growth at kingfisher
810,476,1.5,stock,"aldi and lidl expansion plans speed ahead as tesco, sainsbury's, morrisons ..."
811,476,1.5,economy,"aldi and lidl expansion plans speed ahead as tesco, sainsbury's, morrisons ..."
812,476,0.372,corporate,"aldi and lidl expansion plans speed ahead as tesco, sainsbury's, morrisons ..."
813,476,0.372,corporate,"aldi and lidl expansion plans speed ahead as tesco, sainsbury's, morrisons ..."
814,476,0.372,corporate,"aldi and lidl expansion plans speed ahead as tesco, sainsbury's, morrisons ..."
815,476,1.5,market,"aldi and lidl expansion plans speed ahead as tesco, sainsbury's, morrisons ..."
816,477,1.5,stock,"centrica extends gas deals with gazprom, statoil"
817,477,1.5,economy,"centrica extends gas deals with gazprom, statoil"
818,477,0.219,corporate,"centrica extends gas deals with gazprom, statoil"
819,477,0.219,corporate,"centrica extends gas deals with gazprom, statoil"
820,477,0.219,corporate,"centrica extends gas deals with gazprom, statoil"
821,477,1.5,market,"centrica extends gas deals with gazprom, statoil"
822,480,1.5,stock,"aberdeen am posts h1 outflows, says conditions to remain challenging"
823,480,1.5,economy,"aberdeen am posts h1 outflows, says conditions to remain challenging"
824,480,1.5,corporate,"aberdeen am posts h1 outflows, says conditions to remain challenging"
825,480,-0.364,market,"aberdeen am posts h1 outflows, says conditions to remain challenging"
826,480,-0.364,market,"aberdeen am posts h1 outflows, says conditions to remain challenging"
827,480,-0.364,market,"aberdeen am posts h1 outflows, says conditions to remain challenging"
828,492,0.433,stock,severn trent share price jumps as canadian investor renews pursuit of utility
